Original_dimension: 54223 
 Reduced_dimension: 10 

PC	VarExpl	CumVarExpl
1	0.381284734099037	0.381284734099037
2	0.300147226773163	0.6814319608722
3	0.0936940521754995	0.7751260130477
4	0.0513202088423214	0.826446221890021
5	0.0419876182716739	0.868433840161695
6	0.0324999604978088	0.900933800659504
7	0.0272728129312483	0.928206613590752
8	0.0265958162936424	0.954802429884395
9	0.023880436724527	0.978682866608922
10	0.0213171333910783	1
