DATE,Manhattan,Staten Island,Brooklyn,Bronx,Queens
2024-11-01,25.285423556346984,47.93141097164109,30.622036262203626,36.715175542406314,36.83103924252795
2024-11-02,25.94697634035164,53.072267026818444,32.52256944444444,38.48298481410368,40.72897210844548
2024-11-03,26.500758335149268,55.84840953497459,32.388232110643415,40.577137802607076,42.37666763706938
2024-11-04,25.679767494356657,50.8004899691358,32.53590277777778,36.13495332444275,39.22838045273487
2024-11-05,25.59161620866325,54.21565251884173,26.411029055690072,38.669271548436306,39.01159722919386
2024-11-06,23.63460542096426,50.83109182098765,21.73625079567155,34.243462561763586,36.00602547121753
2024-11-07,22.051929784304726,49.84194090382387,26.423156306578154,34.17060600339815,36.40924552429668
2024-11-08,25.242380534853137,49.28453896604938,31.593958333333333,33.16674475524476,36.41410733211292
2024-11-09,26.442031650983747,52.28327932098766,33.78259259259259,40.04688410708234,40.38931090509414
2024-11-10,26.778350996184823,54.28082175925926,35.44088541666667,41.326204524886876,41.87346541239072
2024-11-11,27.115816348423085,54.28624614197531,33.6590162037037,43.01240268236834,39.93657803353508
2024-11-12,23.21516929048954,51.320978009259264,29.830828025477704,38.46378280839895,36.890670803782506
2024-11-13,23.584210300429184,50.3477237654321,30.857905092592592,37.33158922558923,36.62330232558139
2024-11-14,25.12089067894131,50.218827160493824,32.002048611111114,38.388197932053174,36.626444507468335
2024-11-15,24.312169668040788,50.79201390229775,31.674386574074074,36.146929494519874,36.631521904761904
2024-11-16,26.23075277836024,54.447038966049384,33.67622312608948,40.77227404777276,40.33276387170458
2024-11-17,26.43231633535004,55.28883680555556,32.69784347826087,44.50687946718648,42.43305987741631
2024-11-18,26.488929262524188,51.8875900116144,29.57457775189284,40.89537731216238,37.79085286208221
2024-11-19,24.68518332605849,50.10973674022454,28.246332938388623,38.735187747035575,37.67322958309538
2024-11-20,24.960269353128314,50.71994371118012,29.30757699012202,37.948460003326126,37.447230828074204
2024-11-21,21.34497659574468,45.45806426635695,28.364324637681158,35.05935725938009,32.199825414997136
2024-11-22,23.414961240310078,47.501915760869565,28.6207835171213,34.849368352151856,34.03631868653317
2024-11-23,25.432451081359424,53.019764957264954,32.64940081442699,41.18184895833333,39.900618192241545
2024-11-24,28.157110053785686,54.92158149438637,35.52893147502903,44.15120827226836,42.606937594840666
2024-11-25,25.98763225806452,49.84293402777777,30.771116898148147,38.581314201858795,37.30915413000284
2024-11-26,23.597559038213824,47.65875851332944,27.834256678281065,35.164337884520485,34.860195683453234
2024-11-27,24.475813170629074,48.61215762024338,29.036527777777778,36.380016331863466,36.25425799734999
2024-11-28,27.394661420583972,50.410765817901236,33.225706018518515,40.42702346041056,39.987722264437686
2024-11-29,29.975713367609256,52.51470406189556,36.32262152777778,44.279124348958334,42.95258076740881
2024-11-30,27.473457792207796,51.11313850308642,33.92469494479953,43.13997072218607,41.46452614687559
2024-12-01,26.578659376265698,51.451302748741774,34.1477603257708,42.62575693655687,40.717837326010795
2024-12-02,26.142900145318663,49.73241005802708,29.940425160163073,39.64332247026235,36.65096743386496
2024-12-03,23.80733946873039,50.49307202162579,29.526864456079117,38.593352047556145,36.837102044716225
2024-12-04,23.558912393162394,48.313555383423704,28.95185789167152,37.75383349625285,36.513905759162306
2024-12-05,23.18050735450863,48.123273716951786,28.07823770491803,37.72536077402427,35.75749952006143
2024-12-06,23.08592616580311,49.38883959705541,28.20636682242991,36.43605829959514,35.98556544707494
2024-12-07,25.674226018937834,52.39558857808858,31.79582654249127,42.85767831267106,40.18512888804337
2024-12-08,25.7208618127786,54.222320601851855,33.123748544819556,44.9121940516821,42.053311903186156
2024-12-09,23.797045405638045,49.228231318787415,29.507594641817125,38.74427411497239,37.673381582706405
2024-12-10,24.228287496455913,49.166048548548545,31.153813813813812,38.2718962585034,35.44891237556839
2024-12-11,18.263402581051306,46.25979356405586,22.473570127504555,31.85813237557722,32.48559643916914
2024-12-12,20.512039723276054,49.768218725718725,26.32424154025671,33.29633442622951,32.92557520404198
2024-12-13,21.94962402669633,49.651668602400306,26.861440233236152,32.77241289482254,32.127735977447266
2024-12-14,25.101132650838597,52.49127051554354,30.495467751307377,36.07120403514481,35.9526007751938
2024-12-15,25.771663751639704,54.12061149691358,32.51092657342657,39.64241294752329,37.972895603331395
2024-12-16,22.524068905364153,46.290755633255635,28.388724519510777,32.25707031875701,32.15052116325943
2024-12-17,20.58768248563524,46.2149148277197,27.82514202898551,34.9357982653389,34.88425867204766
2024-12-18,22.071413405495424,47.92796489197531,29.2805787037037,34.035252187748604,33.80856898192198
2024-12-19,23.106383567475522,48.60598132659016,28.243449680046538,34.35220506987325,35.113809929884404
2024-12-20,23.139357175192394,48.16994552529183,27.55204994192799,32.82707715133531,35.22747449709219
2024-12-21,24.07220338983051,48.9798225308642,30.07164351851852,34.83369952591139,38.07300587900626
2024-12-22,24.82675984160261,52.07985532407407,33.48899884259259,39.2930364771607,41.230859427048635
2024-12-23,26.034153605015675,51.59010848126232,33.47937869822485,39.82329664126446,40.14569112348509
2024-12-24,24.817457627118646,43.99896825396825,21.608571428571427,29.170915032679737,35.523629343629345
2024-12-28,24.673333333333336,48.625277777777775,21.794583333333335,34.15602272727273,37.226418918918924
2024-12-29,26.926866338846672,50.860692431562,32.678213851761846,40.6813260907053,42.19454760031471
2024-12-30,26.443709777870044,49.147035108024696,30.925313225058005,37.19390676296783,38.46305132810284
2024-12-31,28.950112451441424,53.75516515356384,32.6680150462963,40.90567576401373,41.568561663617984
