DATE,Manhattan,Staten Island,Brooklyn,Bronx,Queens
2024-11-01,23.97804283360791,44.784305555555555,28.727777777777778,33.32983503534957,34.384698667474254
2024-11-02,25.155049407114625,50.309234567901235,30.587388888888885,34.49190180586908,38.38829206749724
2024-11-03,26.003975409836066,53.52663645192619,28.574330628803246,36.23485201793722,39.585171710835816
2024-11-04,22.60831373866308,45.481212962962964,26.580277777777777,29.877585482903417,34.1970613696089
2024-11-05,23.90357068426537,51.04629438347321,18.641286266924563,34.39659684274439,35.079490011369174
2024-11-06,20.64611210923464,45.850811728395065,16.131265822784812,27.71622658610272,30.664196891191708
2024-11-07,20.391876666666665,44.44350649350649,22.81419868791003,28.848296917090693,31.054927104561845
2024-11-08,22.86747357992074,43.91731172839506,26.748462962962964,27.96270633397313,31.150095948827293
2024-11-09,25.53353630739173,49.489817901234574,31.45621296296296,37.307591203104785,37.71542538567282
2024-11-10,26.804050425671253,52.01749074074075,33.42816666666666,39.249227120535714,40.04019761653341
2024-11-11,25.529577691811735,51.9540524691358,28.932462962962965,39.877081052905915,37.250320133515395
2024-11-12,20.90114276568502,46.7897901234568,22.51496296296296,32.175173583920646,31.43003010234798
2024-11-13,20.40900220333648,45.35478086419753,25.437064814814814,33.076253679421995,31.29933112881407
2024-11-14,22.975995187349604,45.15268827160494,27.00834259259259,33.65771391417425,31.43553463855422
2024-11-15,22.131519560297445,46.95618209876543,26.38634259259259,31.168848153926156,31.753951027811365
2024-11-16,24.94770133164236,52.004540123456785,31.050447343895616,37.61242195629552,38.142008159564824
2024-11-17,26.116641742522756,52.556293209876536,30.9368952734013,41.85587425305275,40.25084572630314
2024-11-18,23.957815611949886,47.18142768466791,25.118054003724396,35.434425242210004,32.99184182509506
2024-11-19,22.250363872644574,44.82710738671633,24.160657276995305,33.592248536455564,33.14081281160296
2024-11-20,21.97353149100257,45.64782418952618,25.143289841565704,31.930958941112912,32.48059810802563
2024-11-21,19.607836980653346,40.13962756052142,23.437697307335192,29.110649554740704,27.031780447012313
2024-11-22,21.100846374960078,42.64662718204489,24.54085581395349,28.658551941238194,29.49623789346247
2024-11-23,25.38668893129771,50.31091448189763,30.351904761904763,37.801874511845874,37.73724710542352
2024-11-24,26.561443102352193,52.15425,33.101416666666665,40.978807792207796,41.11805054151625
2024-11-25,21.886228427988705,44.35388271604938,23.371027777777776,32.27406444906445,31.76855501813785
2024-11-26,20.118403919089758,41.70431098696462,22.49385329619313,28.252631441276485,28.70375
2024-11-27,21.98797547940899,43.15790740740741,23.29047222222222,30.46955886191595,31.369719710669077
2024-11-28,27.30174066924067,47.286885802469136,30.508203703703703,37.14935567679917,37.51574885844749
2024-11-29,28.386861598440543,48.34666975308642,31.78916666666667,40.907649961049074,40.69825857916917
2024-11-30,26.111028625353885,47.326598765432095,31.10297222222222,39.282562500000004,39.02795998194674
2024-12-01,24.25717184527584,47.18283054003724,31.648124419684308,38.73154186167447,37.63671547169811
2024-12-02,22.596597708465943,44.1659789669038,23.741546296296296,33.66766057441253,30.961271045047777
2024-12-03,21.03849357970561,46.32469753086419,23.926212962962964,33.76675293489861,32.17265997872017
2024-12-04,20.540112648857416,43.57261949099938,23.80016713091922,33.45597851716008,32.14877161055505
2024-12-05,20.207753164556962,44.23191878487291,23.82401114206128,33.553027041218165,31.309422175162606
2024-12-06,20.775384363755315,45.15771570453135,25.379087523277466,31.639296325254104,31.357988852763587
2024-12-07,24.743211330362826,49.857110349127176,29.427942539388322,40.39454239045891,37.988028211739724
2024-12-08,25.482396001289906,51.42007098765432,30.93321262766945,42.18211813687223,40.20738528659545
2024-12-09,21.177746747064425,43.473379629629626,23.214925925925925,32.646119133574004,32.55986170212766
2024-12-10,20.75588439306358,44.278070370370365,25.003344444444444,32.34593389460555,30.029981962481962
2024-12-11,17.698531576908174,44.00499244142102,21.668333333333333,29.558313099041534,30.849129229062672
2024-12-12,18.33221886539107,44.749335816263184,22.256555246053853,27.672039968855437,27.478185352200278
2024-12-13,20.336964106004697,44.58839230291744,24.213910614525137,28.556063525123665,27.733499922154756
2024-12-14,23.727178284182305,49.24878703703704,28.577673772011124,32.7163795771016,34.43148429035753
2024-12-15,24.549430422919507,51.56832407407407,30.879990706319706,36.86328916601715,36.9402076553541
2024-12-16,19.61651065203357,40.890839575530585,23.06686165273909,26.541738360323887,27.636173406862746
2024-12-17,19.818824675324677,39.55652389819988,22.54422469823584,30.414351828176937,29.881168851195067
2024-12-18,20.00664657360406,42.181527777777774,24.919157407407408,29.241298635674582,28.211991493240166
2024-12-19,20.288621784693554,43.338508114856424,24.413286647992532,29.497487633428797,29.702940819423368
2024-12-20,20.853909952606635,42.800588235294114,23.841070763500934,28.115541250656857,30.23065985979884
2024-12-21,23.902996655518397,45.839117283950614,28.126064814814818,31.422477899115965,36.032847662141776
2024-12-22,23.95435030259879,48.38362654320988,30.76725925925926,35.70315011667098,39.33271899195385
2024-12-23,22.447653123104914,45.88024627720504,26.585962199312714,34.138020280057944,36.00728846690868
2024-12-24,24.817457627118646,43.99896825396825,21.608571428571427,29.170915032679737,35.523629343629345
2024-12-28,20.5,37.69111111111111,16.151666666666667,26.854545454545452,32.12162162162162
2024-12-29,25.138256972111552,47.38366232153942,31.03174603174603,38.273131074336746,40.98208610271903
2024-12-30,24.602943196004993,44.32431790123457,27.34186111111111,33.00643528183716,35.851307238930026
2024-12-31,28.56788810328927,51.48266358024691,28.66651851851852,38.50146366692527,40.40618587809294
2025-01-01,28.862631080227416,57.688487654320994,38.47013888888889,44.01984958506224,44.36591479075389
