Original_dimension: 54228 
 Reduced_dimension: 10 

PC	VarExpl	CumVarExpl
1	0.380912473005829	0.380912473005829
2	0.297451772896363	0.678364245902191
3	0.0893255591834015	0.767689805085593
4	0.0550139651635151	0.822703770249108
5	0.0432354829886387	0.865939253237747
6	0.0348156722617476	0.900754925499494
7	0.0283232922500433	0.929078217749538
8	0.025590427859901	0.954668645609439
9	0.0237637566964564	0.978432402305895
10	0.0215675976941048	1
